Week,Date,Picker,Symbol,Price,Price at Pick ,Mon,Tue ,Wed ,Thur,Fri,Return 1 Week ,Return 1 Week %,Current Price,Total Return
,4/14/2025,Logan,COST,$990.21,$970.00,$979.32,$976.92,$967.75,$967.75,-,-,-,$990.21,2.1%
,,,,,,,,,,,,,,
Winner,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
,4/21/2025,Patrick,,,-,-,-,-,-,-,-,-,-,-
,4/21/2025,Taylor,,,-,-,-,-,-,-,-,-,-,-
,4/21/2025,Logan,,,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
Winner,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
,4/28/2025,Patrick,GM,$48.65,$47.20,$47.24,$46.94,$45.24,$45.05,$45.30,-$1.90,-4.0%,$48.65,3.1%
,4/28/2025,Taylor,AAPL,$196.45,$210.00,$210.14,$211.21,$212.50,$212.50,$205.35,-$4.65,-2.2%,$196.45,-6.5%
,4/28/2025,Logan,XOM,$112.12,$108.75,$108.63,$108.36,$105.63,$105.63,$106.21,-$2.54,-2.3%,$112.12,3.1%
,,,,,,,,,,,,,,
Winner,Taylor,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
,5/5/2025,Patrick,Pltr,$137.40,$123.70,$123.77,$108.86,$110.48,$119.15,$117.30,-$6.40,-5.2%,$137.40,11.1%
,5/5/2025,Taylor,DIS,$117.94,$89.70,$92.11,$92.17,$102.09,$102.09,$105.94,$16.24,18.1%,$117.94,31.5%
,5/5/2025,Logan,T,$28.19,$27.56,$27.51,$28.16,$28.10,$28.10,$27.84,$0.28,1.0%,$28.19,2.3%
,,,,,,,,,,,,,,
Winner,Taylor,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
,5/12/2025,Patrick,WMT,$94.44,$97.67,$96.75,$95.88,$96.83,$96.35,$98.24,$0.57,0.6%,$94.44,-3.3%
